contract_player_name,contract_year,contract_value,total_passing_attempts,total_passing_completions,total_passing_yards,total_passing_rating,total_passing_touchdowns,total_passing_interceptions,total_passing_sacks,total_passing_sacks_yards_lost,total_rushing_attempts,total_rushing_yards,total_rushing_touchdowns,total_games
Andy Dalton,2023,10000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Dalton,2020,3000000.0,1147,1789,13381,5365.6,80,40,113,704,198,612,11,57
Andy Dalton,2022,3000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Dalton,2011,5214198.0,0,0,0,0,0,0,0,0,0,0,0,0
Colin Kaepernick,2014,114000000.0,476,801,6420,3171.4000000000005,38,16,66,401,208,1444,13,38
Colin Kaepernick,2016,31200000.0,433,722,4984,2054.0000000000005,25,15,80,510,149,895,2,25
Colin Kaepernick,2011,5124296.0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Mallett,2015,7000000.0,42,79,417,198.0,2,3,1,5,14,-11,0,7
Ryan Mallett,2017,2000000.0,139,250,1362,661.8000000000001,5,7,6,32,10,9,1,12
Ryan Mallett,2015,2245000.0,42,79,417,198.0,2,3,1,5,14,-11,0,7
Ryan Mallett,2011,2947828.0,0,0,0,0,0,0,0,0,0,0,0,0
T.J. Yates,2017,855000.0,0,0,0,0,0,0,0,0,0,0,0,0
T.J. Yates,2016,760000.0,160,282,1877,1221.1000000000001,7,11,25,121,25,53,1,20
T.J. Yates,2017,775000.0,0,0,0,0,0,0,0,0,0,0,0,0
T.J. Yates,2011,2225000.0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrod Taylor,2016,90000000.0,242,380,3035,1431.1999999999998,20,6,36,212,104,568,4,14
Tyrod Taylor,2017,30500000.0,269,436,3023,1356.2,17,6,42,192,95,580,6,15
Tyrod Taylor,2021,5500000.0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrod Taylor,2019,11000000.0,197,308,2025,994.7000000000002,12,3,31,162,66,302,3,11
Tyrod Taylor,2022,11000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrod Taylor,2015,3350000.0,19,35,199,357.40000000000003,0,2,5,33,27,136,1,14
Tyrod Taylor,2011,2145308.0,0,0,0,0,0,0,0,0,0,0,0,0
Greg McElroy,2011,2105152.0,0,0,0,0,0,0,0,0,0,0,0,0
Greg McElroy,2014,495000.0,0,0,0,0,0,0,0,0,0,0,0,0
Greg McElroy,2013,102000.0,19,31,214,184.0,1,1,11,71,8,30,0,2
